Model_Parameters, Mean Cost, Action, Context, Probability
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22787563633526298, 0, [17 10 14], 0.875
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23261202112616616, 1, [41 10  2], 0.125
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23100983150951254, 0, [15 10 10], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23088236725397257, 0, [12  7 31], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2319268100789101, 0, [15  7  2], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23208498357585794, 0, [25  5 23], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23257908196622393, 0, [31  4 19], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23293168556116126, 0, [15 10 11], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23328295351652345, 0, [63 11  3], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2326429022297284, 0, [19  6 14], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23199601660459082, 0, [35  9  2], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23079737374689732, 0, [38 11 25], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22981687447854668, 0, [30 11  2], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22924189225070088, 0, [41 11  9], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22887193854721255, 0, [38  7  3], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22976469177998077, 0, [15 11 12], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23073045132447917, 0, [33  9  3], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22999939618143123, 0, [41  5  5], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2311016139049657, 0, [20 11 18], 0.6666666666666666
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2312588556389103, 0, [47 10  4], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23236529770504197, 0, [58  6 23], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23096904675274862, 0, [40 10  5], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22960914569937363, 0, [52  7 23], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22841898213830286, 0, [42  9  3], 0.8769085145917977
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.23366973845841935, 1, [51 10  2], 0.12309148540820225
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22465535984314083, 1, [27  9 23], 0.12126781520393903
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22348468220316056, 0, [46  7 17], 0.8804771369731212
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22243351465791208, 0, [42 10  2], 0.8804771369731212
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21614574998030692, 1, [43 10  8], 0.6666666666666666
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21522041924391205, 0, [32  4  3], 0.8821488618850708
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2169478618698835, 0, [41 10 12], 0.6666666666666666
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21591277030985656, 0, [64  6  2], 0.8821488618850708
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21749771504234047, 0, [11 11  2], 0.8821488618850708
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22202230639216167, 1, [62 10 21], 0.3333333333333333
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2234454220504059, 0, [32  4 18], 0.8837523592077547
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2180835366340519, 1, [17  5 12], 0.11624764079224528
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21958001432162594, 0, [47 11  2], 0.8852921326151222
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21873934328412584, 0, [32  4 18], 0.8852921326151222
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2202192707474413, 0, [38  9  2], 0.8852921326151222
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.22217433718931137, 0, [13  7  2], 0.8852921326151222
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.223658115183413, 0, [57 10  4], 0.8852921326151222
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.2239001466587436, 0, [62 10  4], 0.8852921326151222
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.21657478149037884, 1, [11  7 25], 0.3333333333333333
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.20715359931733557, 1, [45  7 19], 0.8867722881849451
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.19912319314929375, 1, [56 11  4], 0.3333333333333333
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.1958242712822734, 1, [49 10  2], 0.11043152542208211
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.1922961429877077, 1, [12  7 23], 0.890891061858966
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.18487299312268846, 1, [36  7 22], 0.8921672238732461
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.17677458345801553, 1, [40 10  2], 0.6666666666666666
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.17623975905812508, 0, [31  9 31], 0.6666666666666666
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.17810745347814985, 0, [52 11  3], 0.3333333333333333
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, -0.17989602559122364, 0, [41 11  5], 0.3333333333333333
